,dataset,ind,DF_CC_overall,DF_CC_keep,DF_CC_notkeep
0,P0139,7,0.20111546832306929,0.4413730785703258,0.19802792655142556
0,P0139,10,0.2057830864744132,0.47189273083440897,0.20181708884349378
0,P0139,4,0.1783936113610969,0.40815431959745824,0.17589166099031678
0,P0139,5,0.18552445748418225,0.4124392232819425,0.18289817515679685
0,P0139,2,0.023879836833005104,0.3695797071504441,0.020181009623971447
0,P0139,8,0.20350613953991006,0.4487805138669785,0.20016858014733804
0,P0139,3,0.019910236930974014,0.36376004638505777,0.01621277832514577
0,P0142,0,-0.039855543086177316,0.40379383623790355,-0.042404056360910033
0,P0142,9,-0.12530150012013425,0.04302578856296615,-0.12592153898215147
0,P0142,11,-0.12615188201530433,0.02584892225634548,-0.12674146179336726
0,P0142,6,-0.0863844069711777,0.0714399535206876,-0.08691358237755116
0,P0142,7,-0.09656711472238874,0.05760422970633998,-0.09709848546233864
0,P0142,10,-0.12393625456629523,0.03521370069530004,-0.12454675870034329
0,P0142,4,-0.08827678939128478,0.0864433310611799,-0.08882037062678601
0,P0142,5,-0.09160835086210617,0.09199002158261288,-0.09219884228529833
0,P0142,2,-0.23635281642586067,-0.10585629750539857,-0.2368984739048142
0,P0142,8,-0.10822696989038405,0.04658560048041182,-0.10878320862158875
0,P0142,3,-0.23578083744850337,-0.10497648115161914,-0.2363302773876093
0,P0148,0,0.14115373448413315,0.6247553796648059,0.13715632325706756
0,P0148,9,0.09200277917160407,0.3995408740616013,0.08992158187365301
0,P0148,11,0.10489470503708573,0.41721825055937306,0.10271362161375251
0,P0148,6,0.07686925329237396,0.337330537174237,0.07515147148311316
0,P0148,7,0.0845625254786198,0.3460151218603973,0.08278478144678122
0,P0148,10,0.10640780582822733,0.40348953359439454,0.10432335668401481
0,P0148,4,0.09477949958604161,0.3219066462509506,0.09335062524758583
0,P0148,5,0.06725935095992491,0.3269826751223753,0.06561762591560719
0,P0148,2,-0.028264871801679952,0.2894376530068432,-0.030068907700973393
0,P0148,8,0.0932343398230664,0.37597007453614845,0.09130584311510516
0,P0148,3,-0.03517785002438559,0.28275232367155656,-0.036964581716710306
0,P0159,0,0.15965720249446055,0.692671956312555,0.152225802960687
0,P0159,9,0.25554924097781234,0.6219684475186753,0.25213506796421614
0,P0159,11,0.2529615516784876,0.6417058463350405,0.24927020354600246
0,P0159,6,0.24514708484688125,0.5736759243577878,0.24221598485146756
0,P0159,7,0.24826626318542136,0.5877361676922388,0.24516971550503963
0,P0159,10,0.2564939340751867,0.631136510529309,0.25297689899407233
0,P0159,4,0.25192524884842515,0.559365688508078,0.2492839673126055
0,P0159,5,0.24157806465316087,0.5555567150816538,0.238807132304112
0,P0159,2,0.1824220051845072,0.5482064857043693,0.17902192698836805
0,P0159,8,0.25272466050888626,0.6045929247462807,0.24947280442299538
0,P0159,3,0.1889740021612422,0.5460823658799224,0.1856726728889662
0,P0161,0,0.11720996891840421,0.6082162614252091,0.10882982202850548
0,P0161,9,0.17691211578450797,0.49660068709631605,0.1734239609743337
0,P0161,11,0.18392352950685412,0.5357646908524536,0.18000052404777364
0,P0161,6,0.15655776761267867,0.4385494981703219,0.1536961865410114
0,P0161,7,0.16555472306701527,0.45501186123778353,0.16252665014183537
0,P0161,10,0.181209886807437,0.5178231822888686,0.17749075185479346
0,P0161,4,0.12966600681495546,0.4202823718853838,0.12690691497566364
